household_ID,no_of_electricity_meters,electricity_provider_csc_area,own_the_house_or_living_on_rent,occupy_renters_boarders,awareness_of_electricity_consumption_of_renters,built_year_of_the_house,type_of_house,floor_which_house_located,no_of_storeys,floor_area,no_of_household_members,charging_method_of_renters_for_electricity,charged_method_for_rent_for_electricity,is_there_business_carried_out_in_the_household,type_of_business,whom_or_how_the_house_was_designed,availability_of_certificate_of_compliance,main_material_used_for_walls_of_the_house,main_material_used_for_roof_of_the_house,any_constructions_or_renovations_in_the_household,highest_level_of_education_of_the_chief_wage_earner,occupation_of_the_chief_wage_earner,socio_economic_class,total_monthly_expenditure_of_last_month,type_of_electricity_meter
ID0263,1,JA-ELA,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Double Floor,,,550.0,4,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Tile,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,100000.0,Smart meter
ID0264,1,DALUGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,3000.0,5,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Self employed (Professional) - No employees,SEC A,,Smart meter
ID0265,1,HIKKADUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,3000.0,6,,,No,,The house is designed by a certified architect.,Don't know,Brick,Tile,No,O/L or A/L pending / Passed,Supervisor grades,SEC C,80000.0,Non smart meter
ID0266,1,HIKKADUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,1100.0,3,,,No,,The house is designed by a certified architect.,No,Brick,Tile,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,30000.0,Non smart meter
ID0267,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,3000.0,6,,,No,,The house is designed by a certified architect.,No,Brick,Asbestos,No,O/L or A/L pending / Passed,Self employed (Professional) - No employees,SEC B,55000.0,Smart meter
ID0268,1,HIKKADUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,440.0,3,,,No,,The house is designed by a certified architect.,No,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,250000.0,Non smart meter
ID0269,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,700.0,5,,,No,,The house plan was not done by an architect but checked by a certified architect or engineer.,Yes,Brick,Asbestos,No,Schooling up to Grade 6 - 9,Self employed (Professional) - No employees,SEC D,100000.0,Non smart meter
ID0270,1,MORATUWA SOUTH,"Yes, I or a household member owns it.","Renters / boarders who are living in your annexe or any other attached place, maintaining separate living conditions but share the same electricity meter.","I know all the details about the electricity consumption of the renters/ boarders; i.e.; the appliances they use and the number of hours they use each appliance, the times they keep the lights and fans switched on etc.",1980-1989,Single House - Single Floor,,,1800.0,8,You charge an amount for electricity depending on the variance of the bill.,,No,,I am not aware of that.,Don't know,Brick,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,70000.0,Smart meter
ID0271,1,BORALASGAMUWA,"No, I am living on rent and the rent is paid by me or a household member.",,,1990-1999,Single House - Single Floor,,,500.0,2,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,Cement Block,Tile,No,O/L or A/L pending / Passed,Self employed (Professional) - No employees,SEC B,100000.0,Smart meter
ID0272,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,1400.0,4,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",Don't know,Brick,Asbestos,Yes,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Self employed (Professional) - No employees,SEC A,60000.0,Non smart meter
ID0273,1,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,In 2020 or After 2020,Single House - Double Floor,,,800.0,6,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",No,Cement Block,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Skilled Worker,SEC B,100000.0,Smart meter
ID0274,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,600.0,5,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",No,Cabook,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,120000.0,Non smart meter
ID0275,1,NEGOMBO,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,550.0,5,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",No,Brick,Tile,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,100000.0,Smart meter
ID0276,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Double Floor,,,3000.0,3,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,100000.0,Smart meter
ID0277,1,PITA-KOTTE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,640.0,5,,,No,,The house plan was not done by an architect but checked by a certified architect or engineer.,Yes,Brick,Concrete,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,60000.0,Smart meter
ID0278,1,HIKKADUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,550.0,4,,,No,,The house is designed by a certified architect.,No,Cement Block,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Skilled Worker,SEC B,30000.0,Smart meter
ID0279,1,NEGOMBO,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,560.0,2,,,No,,The house is designed by a certified architect.,Yes,Brick,Tile,No,O/L or A/L pending / Passed,1-9 Employed,SEC B,40000.0,Smart meter
ID0280,2,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,1200.0,4,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),1-9 Employed,SEC A,100000.0,Smart meter
ID0281,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,850.0,2,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Small Businessman / Self employed (Non professional),SEC C,60000.0,Non smart meter
ID0282,1,HIKKADUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,500.0,2,,,No,,The house is designed by a certified architect.,Don't know,Brick,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Skilled Worker,SEC B,30000.0,Non smart meter
ID0283,1,ALUTHGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,800.0,5,,,No,,I am not aware of that.,Yes,Cement Block,Tile,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,65000.0,Smart meter
ID0284,1,ALUTHGAMA,"No, I am living on rent and the rent is paid by me or a household member.",,,1980-1989,Single House - Single Floor,,,900.0,4,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,Brick,Asbestos,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,40000.0,Non smart meter
ID0285,1,ALUTHGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,600.0,8,,,No,,I am not aware of that.,No,Brick,Asbestos,No,Schooling up to Grade 6 - 9,Small Businessman / Self employed (Non professional),SEC D,25000.0,Non smart meter
ID0286,1,ALUTHGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,325.0,4,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,30000.0,Non smart meter
ID0287,1,ALUTHGAMA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,1000.0,7,,,No,,I am not aware of that.,Don't know,Cement Block,Tile,No,Schooling up to Grade 6 - 9,Small Businessman / Self employed (Non professional),SEC D,45000.0,Smart meter
ID0288,2,GALLE,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Double Floor,,,1100.0,6,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,Yes,O/L or A/L pending / Passed,Self employed (Professional) - No employees,SEC B,50000.0,Non smart meter
ID0289,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Double Floor,,,875.0,4,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,O/L or A/L pending / Passed,Junior executive / Executive,SEC B,100000.0,Non smart meter
ID0290,1,BORALASGAMUWA,"No, I or any household member does not own or rent this household. We occupy this household without any payment of rent.",,,2000-2009,Single House - Double Floor,,,225.0,1,,You don't pay the owner for electricity consumption.,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,Graduate / Post-Grads / Degree level professional qualification,Manager / Professional,SEC A,100000.0,Smart meter
ID0291,1,HIKKADUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,Before 1980,Single House - Single Floor,,,1400.0,2,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",No,Cement Block,Asbestos,No,Other professional certificates with O/L or A/L / Part qualification (Non graduate),Manager / Professional,SEC A,70000.0,Non smart meter
ID0292,1,HIKKADUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,400.0,9,,,No,,The house is designed by a certified architect.,Don't know,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,50000.0,Non smart meter
ID0293,1,GALLE,"Yes, I or a household member owns it.","Renters / boarders who are living in your annexe or any other attached place, maintaining separate living conditions but share the same electricity meter.","I know all the details about the electricity consumption of the renters/ boarders; i.e.; the appliances they use and the number of hours they use each appliance, the times they keep the lights and fans switched on etc.",2010-2019,Single House - Double Floor,,,900.0,3,You charge an amount for electricity depending on the variance of the bill.,,No,,"The house plan is not done by an architect, nor checked by a certified architect / engineer, the house is designed to barely pass the legal requirements of the local authorities.",Don't know,Cement Block,Concrete,No,O/L or A/L pending / Passed,Clerk / Salesman grades,SEC C,30000.0,Non smart meter
ID0294,1,JA-ELA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,900.0,3,,,No,,The house is designed by a certified architect.,No,Brick,Asbestos,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,100000.0,Smart meter
ID0295,1,MORATUWA SOUTH,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2000-2009,Single House - Single Floor,,,450.0,3,,,No,,"The house plan is not done by an architect, nor checked by a certified architect or engineer. The house was not designed keeping in mind the legal requirements of the local authorities. The house was designed only to suit our needs.",No,Cement Block,Asbestos,No,Diploma with O/L or A/L (Non graduate),Middle and Senior executive,SEC A,60000.0,Smart meter
ID0296,1,BORALASGAMUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Double Floor,,,4600.0,7,,,No,,The house is designed by a certified architect.,Yes,Brick,Asbestos,No,Diploma with O/L or A/L (Non graduate),Manager / Professional,SEC A,30000.0,Smart meter
ID0297,1,JA-ELA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,600.0,4,,,No,,The house is designed by a certified architect.,Don't know,Cement Block,Concrete,No,O/L or A/L pending / Passed,Supervisor grades,SEC C,25000.0,Non smart meter
ID0298,1,KOLONNAWA,"No, I am living on rent and the rent is paid by me or a household member.",,,2000-2009,Single House - Single Floor,,,100.0,6,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,Wood / Takaran / Asbestos,Metal Sheet,No,O/L or A/L pending / Passed,Small Businessman / Self employed (Non professional),SEC C,60000.0,Non smart meter
ID0299,1,HIKKADUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1980-1989,Single House - Single Floor,,,1000.0,3,,,No,,I am not aware of that.,Don't know,Brick,Tile,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,30000.0,Non smart meter
ID0300,1,MORATUWA SOUTH,"No, I am living on rent and the rent is paid by me or a household member.",,,Don't know,Single House - Single Floor,,,3000.0,5,,You pay the full amount of the electricity bill.,No,,I am not aware of that.,Don't know,I am not aware of that,Asbestos,No,Schooling up to Grade 6 - 9,Skilled Worker,SEC D,50000.0,Smart meter
ID0301,1,HIKKADUWA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,1990-1999,Single House - Single Floor,,,1200.0,7,,,No,,I am not aware of that.,Don't know,Brick,Tile,No,O/L or A/L pending / Passed,Manager / Professional,SEC B,50000.0,Non smart meter
ID0302,1,JA-ELA,"Yes, I or a household member owns it.",I don't occupy any of the above.,,2010-2019,Single House - Single Floor,,,540.0,4,,,No,,The house is designed by a certified architect.,Yes,Cement Block,Asbestos,No,O/L or A/L pending / Passed,Skilled Worker,SEC C,75000.0,Non smart meter
